ISim log file
Running: C:\Users\sahil\Desktop\UCLAThings\2018-2019 Classes\Fall 2018\CS M152B\SJD\Lab0_2018\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/sahil/Desktop/UCLAThings/2018-2019 Classes/Fall 2018/CS M152B/SJD/Lab0_2018/first_counter_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
----------------------------------------------------------------------
INFO:Security:51 - The XILINXD_LICENSE_FILE environment variable is not set.
INFO:Security:53 - The LM_LICENSE_FILE environment variable is not set.
INFO:Security:68a - user is sahil, on host SAHILLAPTOP.
WARNING:Security:43 - No license file was found in the standard Xilinx license directory.
WARNING:Security:44 - Since no license file was found,
       please run the Xilinx License Configuration Manager
       (xlcm or "Manage Xilinx Licenses")
       to assist in obtaining a license.
ERROR:Security:14 - No feature was available for 'ISIM'.

No such feature exists.
Feature:       ISIM
License path:  C:/.Xilinx;D:\Xilinx\14.7\ISE_DS\ISE\/data\*.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\Xilinx.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\XilinxFree.lic;
FLEXnet Licensing error:-5,357
For further information, refer to the FLEXnet Licensing documentation,
available at "www.flexerasoftware.com".
----------------------------------------------------------------------
WARNING: A full ISim License cannot be checked out due to the issues listed above. Please use Xilinx License Configuration Manager to fix these issues in order to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
2635	 0 0 1 1100
2640	 1 0 1 1100
2645	 0 0 1 1100
2650	 1 0 1 1100
2655	 0 0 1 1100
2660	 1 0 1 1100
2665	 0 0 1 1100
2670	 1 0 1 1100
2675	 0 0 1 1100
2680	 1 0 1 1100
2685	 0 0 1 1100
2690	 1 0 1 1100
2691	 1 0 1 1101
2695	 0 0 1 1101
2700	 1 0 1 1101
2705	 0 0 1 1101
2710	 1 0 1 1101
2715	 0 0 1 1101
2720	 1 0 1 1101
2725	 0 0 1 1101
2730	 1 0 1 1101
2735	 0 0 1 1101
2740	 1 0 1 1101
2745	 0 0 1 1101
2750	 1 0 1 1101
2751	 1 0 1 1110
2755	 0 0 1 1110
2760	 1 0 1 1110
2765	 0 0 1 1110
2770	 1 0 1 1110
2775	 0 0 1 1110
2780	 1 0 1 1110
2785	 0 0 1 1110
2790	 1 0 1 1110
2795	 0 0 1 1110
2800	 1 0 1 1110
2805	 0 0 1 1110
2810	 1 0 1 1110
2811	 1 0 1 1111
2815	 0 0 1 1111
2820	 1 0 1 1111
2825	 0 0 1 1111
2830	 1 0 1 1111
2835	 0 0 1 1111
2840	 1 0 1 1111
2845	 0 0 1 1111
2850	 1 0 1 1111
2855	 0 0 1 1111
2860	 1 0 1 1111
2865	 0 0 1 1111
2870	 1 0 1 1111
2871	 1 0 1 0000
2875	 0 0 1 0000
2880	 1 0 1 0000
2885	 0 0 1 0000
2890	 1 0 1 0000
2895	 0 0 1 0000
2900	 1 0 1 0000
2905	 0 0 1 0000
2910	 1 0 1 0000
2915	 0 0 1 0000
2920	 1 0 1 0000
2925	 0 0 1 0000
2930	 1 0 1 0000
2931	 1 0 1 0001
2935	 0 0 1 0001
2940	 1 0 1 0001
2945	 0 0 1 0001
2950	 1 0 1 0001
2955	 0 0 1 0001
2960	 1 0 1 0001
2965	 0 0 1 0001
2970	 1 0 1 0001
2975	 0 0 1 0001
2980	 1 0 1 0001
2985	 0 0 1 0001
2990	 1 0 1 0001
2991	 1 0 1 0010
2995	 0 0 1 0010
3000	 1 0 1 0010
3005	 0 0 1 0010
3010	 1 0 1 0010
3015	 0 0 1 0010
3020	 1 0 1 0010
3025	 0 0 1 0010
3030	 1 0 1 0010
3035	 0 0 1 0010
3040	 1 0 1 0010
3045	 0 0 1 0010
3050	 1 0 1 0010
3051	 1 0 1 0011
3055	 0 0 1 0011
3060	 1 0 1 0011
3065	 0 0 1 0011
3070	 1 0 1 0011
3075	 0 0 1 0011
3080	 1 0 1 0011
3085	 0 0 1 0011
3090	 1 0 1 0011
3095	 0 0 1 0011
3100	 1 0 1 0011
3105	 0 0 1 0011
3110	 1 0 1 0011
3111	 1 0 1 0100
3115	 0 0 1 0100
3120	 1 0 1 0100
3125	 0 0 1 0100
3130	 1 0 1 0100
3135	 0 0 1 0100
3140	 1 0 1 0100
3145	 0 0 1 0100
3150	 1 0 1 0100
3155	 0 0 1 0100
3160	 1 0 1 0100
3165	 0 0 1 0100
3170	 1 0 1 0100
3171	 1 0 1 0101
3175	 0 0 1 0101
3180	 1 0 1 0101
3185	 0 0 1 0101
3190	 1 0 1 0101
3195	 0 0 1 0101
3200	 1 0 1 0101
3205	 0 0 1 0101
3210	 1 0 1 0101
3215	 0 0 1 0101
3220	 1 0 1 0101
3225	 0 0 1 0101
3230	 1 0 1 0101
3231	 1 0 1 0110
3235	 0 0 1 0110
3240	 1 0 1 0110
3245	 0 0 1 0110
3250	 1 0 1 0110
3255	 0 0 1 0110
3260	 1 0 1 0110
3265	 0 0 1 0110
3270	 1 0 1 0110
3275	 0 0 1 0110
3280	 1 0 1 0110
3285	 0 0 1 0110
3290	 1 0 1 0110
3291	 1 0 1 0111
3295	 0 0 1 0111
3300	 1 0 1 0111
3305	 0 0 1 0111
3310	 1 0 1 0111
3315	 0 0 1 0111
3320	 1 0 1 0111
3325	 0 0 1 0111
3330	 1 0 1 0111
3335	 0 0 1 0111
3340	 1 0 1 0111
3345	 0 0 1 0111
3350	 1 0 1 0111
3351	 1 0 1 1000
3355	 0 0 1 1000
3360	 1 0 1 1000
3365	 0 0 1 1000
3370	 1 0 1 1000
3375	 0 0 1 1000
3380	 1 0 1 1000
3385	 0 0 1 1000
3390	 1 0 1 1000
3395	 0 0 1 1000
3400	 1 0 1 1000
3405	 0 0 1 1000
3410	 1 0 1 1000
3411	 1 0 1 1001
3415	 0 0 1 1001
3420	 1 0 1 1001
3425	 0 0 1 1001
3430	 1 0 1 1001
3435	 0 0 1 1001
3440	 1 0 1 1001
3445	 0 0 1 1001
3450	 1 0 1 1001
3455	 0 0 1 1001
3460	 1 0 1 1001
3465	 0 0 1 1001
3470	 1 0 1 1001
3471	 1 0 1 1010
3475	 0 0 1 1010
3480	 1 0 1 1010
